Test Case ID,Work Week,Date,Result,Run Group,Time Taken,Notes,Jira Link,Executed By
TC-SYS-003,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SYS-004,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-SYS-005,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-01,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-02,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-03,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-04,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-05,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-06,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-07,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-08,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-09,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-HW-10,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-FPGA-001,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-FPGA-002,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-FPGA-003,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-FPGA-004,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-FPGA-005,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-FPGA-006,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-VLA-001,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-VLA-002,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-VLA-003,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-VLA-004,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-VLA-005,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-VLA-006,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-MAMC-001,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-MAMC-002,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-MAMC-003,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-MAMC-004,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-MAMC-005,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-MAMC-006,WW26,24-06-26,BLOCKED,Real_Run_03,,Automation unavailable: only TC-GUI cases can be executed automatically.,,
TC-GUI-001,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.47s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_001 -q --tb=short --disable-warnings",,
TC-GUI-002,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_002 -q --tb=short --disable-warnings",,
TC-GUI-003,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_003 -q --tb=short --disable-warnings",,
TC-GUI-010,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_010 -q --tb=short --disable-warnings",,
TC-GUI-011,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_011 -q --tb=short --disable-warnings",,
TC-GUI-012,WW26,24-06-26,PASS,Real_Run_03,1s,".                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_012 -q --tb=short --disable-warnings",,
TC-GUI-013,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.13s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_013 -q --tb=short --disable-warnings",,
TC-GUI-020,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 6 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_020 -q --tb=short --disable-warnings",,
TC-GUI-021,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 7 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_021 -q --tb=short --disable-warnings",,
TC-GUI-022,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 10 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_022 -q --tb=short --disable-warnings",,
TC-GUI-023,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 7 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_023 -q --tb=short --disable-warnings",,
TC-GUI-030,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_030 -q --tb=short --disable-warnings",,
TC-GUI-031,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 6 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_031 -q --tb=short --disable-warnings",,
TC-GUI-032,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 6 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_032 -q --tb=short --disable-warnings",,
TC-GUI-040,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.20s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_040 -q --tb=short --disable-warnings",,
TC-GUI-041,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_041 -q --tb=short --disable-warnings",,
TC-GUI-050,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_050 -q --tb=short --disable-warnings",,
TC-GUI-051,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_051 -q --tb=short --disable-warnings",,
TC-GUI-052,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_052 -q --tb=short --disable-warnings",,
TC-GUI-053,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_053 -q --tb=short --disable-warnings",,
TC-GUI-054,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_054 -q --tb=short --disable-warnings",,
TC-GUI-055,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_055 -q --tb=short --disable-warnings",,
TC-GUI-056,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_056 -q --tb=short --disable-warnings",,
TC-GUI-057,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.20s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_057 -q --tb=short --disable-warnings",,
TC-GUI-060,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_060 -q --tb=short --disable-warnings",,
TC-GUI-061,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_061 -q --tb=short --disable-warnings",,
TC-GUI-062,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_062 -q --tb=short --disable-warnings",,
TC-GUI-063,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_063 -q --tb=short --disable-warnings",,
TC-GUI-064,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_064 -q --tb=short --disable-warnings",,
TC-GUI-070,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_070 -q --tb=short --disable-warnings",,
TC-GUI-071,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_071 -q --tb=short --disable-warnings",,
TC-GUI-072,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_072 -q --tb=short --disable-warnings",,
TC-GUI-073,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 7 warnings in 0.20s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_073 -q --tb=short --disable-warnings",,
TC-GUI-074,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_074 -q --tb=short --disable-warnings",,
TC-GUI-075,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 4 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_075 -q --tb=short --disable-warnings",,
TC-GUI-076,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 3 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_076 -q --tb=short --disable-warnings",,
TC-GUI-077,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.14s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_077 -q --tb=short --disable-warnings",,
TC-GUI-100,WW26,24-06-26,BLOCKED,Real_Run_03,2s,"s                                                                        [100%]
1 skipped, 3 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_100 -q --tb=short --disable-warnings",,
TC-GUI-101,WW26,24-06-26,BLOCKED,Real_Run_03,,"Dependency not PASS: TC-GUI-100=BLOCKED: Run because TC-GUI-101 depends on this test case. / s                                                                        [100%] / 1 skipped, 3 warnings in 0.59s 
/  / Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_100 -q --tb=short --disable-warnings",,
TC-GUI-102,WW26,24-06-26,BLOCKED,Real_Run_03,,"Dependency not PASS: TC-GUI-100=BLOCKED: Run because TC-GUI-102 depends on this test case. / s                                                                        [100%] / 1 skipped, 3 warnings in 0.19s 
/  / Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_100 -q --tb=short --disable-warnings",,
TC-GUI-103,WW26,24-06-26,PASS,Real_Run_03,1s,"Dependency is marked HIL/hardware environment; result may require physical hardware or configured hardware mocks.
.                                                                        [100%]
1 passed, 2 warnings in 0.12s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_103 -q --tb=short --disable-warnings",,
TC-GUI-104,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 6 warnings in 0.19s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_104 -q --tb=short --disable-warnings",,
TC-GUI-110,WW26,24-06-26,BLOCKED,Real_Run_03,,"Dependency is marked HIL/hardware environment; result may require physical hardware or configured hardware mocks.
Automation status is Not Ready.",,
TC-GUI-111,WW26,24-06-26,BLOCKED,Real_Run_03,,"Dependency is marked HIL/hardware environment; result may require physical hardware or configured hardware mocks.
Automation status is Not Ready.",,
TC-GUI-112,WW26,24-06-26,BLOCKED,Real_Run_03,,"Dependency is marked HIL/hardware environment; result may require physical hardware or configured hardware mocks.
Automation status is Not Ready.",,
TC-GUI-120,WW26,24-06-26,FAIL,Real_Run_03,2s,".                                                                        [100%]
1 passed, 10 warnings in 0.62s

QThread: Destroyed while thread 'VlaInferenceWorker' is still running

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_120 -q --tb=short --disable-warnings",,
TC-GUI-121,WW26,24-06-26,FAIL,Real_Run_03,2s,".                                                                        [100%]
1 passed, 10 warnings in 0.68s

QThread: Destroyed while thread 'VlaInferenceWorker' is still running

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_121 -q --tb=short --disable-warnings",,
TC-GUI-122,WW26,24-06-26,FAIL,Real_Run_03,2s,".                                                                        [100%]
1 passed, 14 warnings in 0.63s

QThread: Destroyed while thread 'VlaInferenceWorker' is still running

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_122 -q --tb=short --disable-warnings",,
TC-GUI-123,WW26,24-06-26,FAIL,Real_Run_03,2s,".                                                                        [100%]
1 passed, 14 warnings in 0.64s

QThread: Destroyed while thread 'VlaInferenceWorker' is still running

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_123 -q --tb=short --disable-warnings",,
TC-GUI-124,WW26,24-06-26,BLOCKED,Real_Run_03,,"Dependency not PASS: TC-GUI-120=FAIL: Run because TC-GUI-124 depends on this test case. / .                                                                        [100%] / 1 passed, 10 warnings in 0.62s /  / QThread: Destroyed while thread 'VlaInferenceWorker' is still running
 /  / Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_120 -q --tb=short --disable-warnings",,
TC-GUI-125,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.21s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_125 -q --tb=short --disable-warnings",,
TC-GUI-130,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.51s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_130 -q --tb=short --disable-warnings",,
TC-GUI-131,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.46s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_131 -q --tb=short --disable-warnings",,
TC-GUI-132,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.16s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_132 -q --tb=short --disable-warnings",,
TC-GUI-133,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.15s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_133 -q --tb=short --disable-warnings",,
TC-GUI-134,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.15s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_134 -q --tb=short --disable-warnings",,
TC-GUI-135,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.15s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_135 -q --tb=short --disable-warnings",,
TC-GUI-160,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.16s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_160 -q --tb=short --disable-warnings",,
TC-GUI-161,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.18s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_161 -q --tb=short --disable-warnings",,
TC-GUI-162,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.17s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_162 -q --tb=short --disable-warnings",,
TC-GUI-163,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.16s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_163 -q --tb=short --disable-warnings",,
TC-GUI-164,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.16s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_164 -q --tb=short --disable-warnings",,
TC-GUI-170,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.16s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_170 -q --tb=short --disable-warnings",,
TC-GUI-171,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.17s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_171 -q --tb=short --disable-warnings",,
TC-GUI-172,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.16s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_172 -q --tb=short --disable-warnings",,
TC-GUI-173,WW26,24-06-26,PASS,Real_Run_03,2s,".                                                                        [100%]
1 passed, 2 warnings in 0.17s

Command: /home/latticeapp/KinNamWorkspace/automate5/.venv/bin/python -m pytest tests/test_suite_gui/testcase_tc_gui_automation.py::test_tc_gui_173 -q --tb=short --disable-warnings",,
